recipe_link,name,prep,cook,additional,total,servings,yield,ingredients,instructions,nutrition
https://www.allrecipes.com/recipe/158727/bacon-for-the-family-or-a-crowd/,Bacon for the Family or a Crowd Recipe,5 mins,15 mins,,20 mins,4,12 strips,1 pound thick sliced bacon,"Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with aluminum foil. Arrange the bacon in a single layer on the prepared sheet with the edges touching or slightly overlapping. Bake in the preheated oven to desired degree of doneness, 10 to 15 minutes. Remove bacon from the baking sheet with tongs or a fork, and drain on a paper towel-lined plate.",203 calories; protein 13.9g; carbohydrates 0.5g; fat 15.6g; cholesterol 41.2mg; sodium 865.2mg.
https://www.allrecipes.com/recipe/236372/chef-johns-summer-scrambled-eggs/,Chef John's Summer Scrambled Eggs,5 mins,5 mins,,10 mins,1,1 serving,"3 large eggs, 1 pinch red pepper flakes, 9 cherry tomatoes, halved, 2 tablespoons crumbled feta cheese, 1 tablespoon very thinly sliced fresh basil leaves, olive oil, 1 pinch sea salt","Beat eggs and red pepper flakes together in a bowl. Stir tomatoes, feta, and basil leaves into egg mixture. Heat olive oil in a nonstick skillet over high heat until oil starts to shimmer. Pour egg mixture into hot oil and cook, without stirring, for 5 seconds. Cook and stir egg mixture until eggs are scrambled and softly set, about 30 seconds. Transfer eggs to a plate and sprinkle with sea salt.",420 calories; protein 23.1g; carbohydrates 9.7g; fat 33.1g; cholesterol 574.8mg; sodium 755.5mg.
https://www.allrecipes.com/recipe/20513/classic-waffles/,Classic Waffles Recipe,10 mins,15 mins,,25 mins,5,10 to 12 waffles,"2 cups all-purpose flour, 1 teaspoon salt, 4 teaspoons baking powder, 2 tablespoons white sugar, 2 eggs, 1 ½ cups warm milk, ⅓ cup butter, melted, 1 teaspoon vanilla extract","In a large bowl, mix together flour, salt, baking powder and sugar; set aside. Preheat waffle iron to desired temperature. In a separate bowl, beat the eggs. Stir in the milk, butter and vanilla. Pour the milk mixture into the flour mixture; beat until blended. Ladle the batter into a preheated waffle iron. Cook the waffles until golden and crisp. Serve immediately.",379 calories; protein 10.2g; carbohydrates 47.6g; fat 16.2g; cholesterol 112.8mg; sodium 899.1mg.
https://www.allrecipes.com/recipe/71803/quick-and-easy-home-fries/,Quick and Easy Home Fries Recipe,5 mins,20 mins,,25 mins,4,,"3 medium russet potatoes, cubed, 3 tablespoons butter or margarine, salt and ground black pepper to taste","Rinse potato cubes with cold water and drain well. Melt butter in a large skillet over medium heat. Place potatoes in the skillet and season with salt and pepper; mix well. Cover and cook for 10 minutes. Remove the lid and cook, turning frequently, until brown and crisp on all sides, about 10 more minutes.",199 calories; protein 3.3g; carbohydrates 27.9g; fat 8.8g; cholesterol 22.9mg; sodium 70.9mg.
https://www.allrecipes.com/recipe/150141/aunt-normas-rhubarb-muffins/,Aunt Norma's Rhubarb Muffins,15 mins,25 mins,10 mins,50 mins,24,2 dozen muffins,"2 ½ cups flour, 1 teaspoon baking soda, 1 teaspoon baking powder, ½ teaspoon salt, 1 ¼ cups brown sugar, ½ cup vegetable oil, 1 egg, 1 teaspoon vanilla extract, 1 cup buttermilk, 1 ½ cups diced rhubarb, ½ cup chopped walnuts, 1 tablespoon melted butter, ⅓ cup white sugar, 1 teaspoon ground cinnamon","Preheat the oven to 350 degrees F (175 degrees C). Grease two 12 cup muffin pans or line with paper cups. In a medium bowl, stir together the flour, baking soda, baking powder and salt. In a separate bowl, beat the brown sugar, oil, egg, vanilla and buttermilk with an electric mixer until smooth. Pour in the dry ingredients and mix by hand just until blended. Stir in the rhubarb and walnuts. Spoon the batter into the prepared cups, filling almost to the top. In a small bowl, stir together the melted butter, white sugar and cinnamon; sprinkle about 1 teaspoon of this mixture on top of each muffin. Bake in the preheated oven until the tops of the muffins spring back when lightly pressed, about 25 minutes. Cool in the pans for at least 10 minutes before removing.",157 calories; protein 2.4g; carbohydrates 21.5g; fat 7.1g; cholesterol 9.4mg; sodium 141mg.
https://www.allrecipes.com/recipe/281515/simple-southwestern-breakfast-pizza/,Simple Southwestern Breakfast Pizza,5 mins,20 mins,,25 mins,4,1 breakfast pizza,"3 pork sausage patties, 1 large flour tortilla, ½ cup shredded asadero cheese, divided, ⅓ cup salsa, 1 medium egg, 4 slices whole-wheat rotini or farfalle pasta, 1 tablespoon chopped fresh cilantro, or to taste, 1 tablespoon poblano peppers (about 1 1/4 pounds), 1 pinch freshly ground black pepper to taste","Preheat the oven to 350 degrees F (175 degrees C). Crumble sausage into a large skillet and cook until browned over medium-high heat, about 5 minutes. Drain grease and remove browned pork to a plate. Clean out skillet. Place flour tortilla into the skillet. Sprinkle 1/2 of the asadero cheese onto the tortilla and spread salsa over the cheese. Top with sausage crumbles and remaining cheese. Crack open the egg and carefully add to the middle of the pizza; cook for 12 minutes. Top pizza with avocado slices, chopped cilantro, crema con sal, and black pepper.",233 calories; protein 11g; carbohydrates 15.2g; fat 14.8g; cholesterol 77.7mg; sodium 467.4mg.
https://www.allrecipes.com/recipe/220520/classic-hash-browns/,Classic Hash Browns Recipe,10 mins,10 mins,,20 mins,2,2 servings,"2 russet potatoes, peeled, 3 tablespoons clarified butter, salt and ground black pepper to taste, 1 pinch cayenne pepper, or to taste, 1 pinch paprika, or to taste","Shred potatoes into a large bowl filled with cold water. Stir until water is cloudy, drain, and cover potatoes again with fresh cold water. Stir again to dissolve excess starch. Drain potatoes well, pat dry with paper towels, and squeeze out any excess moisture. Heat clarified butter in a large non-stick pan over medium heat. Sprinkle shredded potatoes into the hot butter and season with salt, black pepper, cayenne pepper, and paprika. Cook potatoes until a brown crust forms on the bottom, about 5 minutes. Continue to cook and stir until potatoes are browned all over, about 5 more minutes.",334 calories; protein 4.4g; carbohydrates 37.5g; fat 19.4g; cholesterol 49.2mg; sodium 13.4mg.
https://www.allrecipes.com/recipe/263600/instant-pot-paleo-and-keto-egg-shakshuka-with-kale/,Instant Pot® Paleo and Keto Egg Shakshuka with Kale Recipe,10 mins,15 mins,5 mins,30 mins,4,4 servings,"1 tablespoon olive oil, ½ onion, diced, ½ red bell pepper, diced, 2 cloves garlic, minced, 1 teaspoon chili powder, ½ teaspoon smoked paprika, ½ teaspoon ground cumin, 2 cups baby kale, 1 ½ cups marinara sauce, ½ teaspoon sea salt, ½ teaspoon ground black pepper, 4 eggs, 1 tablespoon chopped fresh parsley","Turn on a multi-functional pressure cooker (such as Instant Pot®) and select Saute function. Heat olive oil and cook onion, red bell pepper, garlic, chili powder, paprika, and cumin until soft, about 3 minutes. Add kale and cook until soft, about 2 minutes. Stir in marinara sauce and season with salt and pepper; turn off the pot and let cool for 5 minutes. Crack eggs carefully in the pot, evenly spaced. Close and lock the lid. Select low pressure according to manufacturer's instructions; set timer for 1 minute. Once it beeps, release pressure carefully using the quick-release method according to manufacturer's instructions, about 2 minutes. Unlock and remove the lid. Sprinkle with parsley.",205 calories; protein 8.5g; carbohydrates 19.6g; fat 10.7g; cholesterol 165.6mg; sodium 682mg.
https://www.allrecipes.com/recipe/14096/best-buckwheat-pancakes/,Best Buckwheat Pancakes Recipe,5 mins,10 mins,,15 mins,2,2 to 3 servings,"1 cup buttermilk, 1 egg, 3 tablespoons butter, melted, 6 tablespoons all-purpose flour, 6 tablespoons buckwheat flour, 1 teaspoon white sugar, ½ teaspoon salt, 1 teaspoon baking soda, 3 tablespoons butter","In a medium bowl, whisk together the buttermilk, egg, and melted butter. In another bowl, mix together white flour, buckwheat flour, sugar, salt and baking soda. Pour the dry ingredients into the egg-mixture. Stir until the two mixtures are just incorporated. Heat a griddle or large frying pan to medium-hot, and place 1 tablespoon of butter, margarine or oil into it. Let the butter melt before spooning the batter into the frying pan, form 4 inch pancakes out of the batter. Once bubbles form on the top of the pancakes, flip them over, and cook them on the other side for about 3 minutes. Continue with this process until all of the batter has been made into pancakes.",560 calories; protein 12.8g; carbohydrates 42.1g; fat 39g; cholesterol 189.5mg; sodium 1622.6mg.
https://www.allrecipes.com/recipe/267143/make-ahead-sweet-potato-and-chorizo-breakfast-burritos/,Make-Ahead Sweet Potato and Chorizo Breakfast Burritos Recipe,25 mins,25 mins,,50 mins,8,8 burritos,"2 medium sweet potatoes, scrubbed and cut into 1/2-inch cubes, 3 green onions, chopped, 2 tablespoons olive oil, ½ teaspoon garlic powder, ½ teaspoon salt, ¼ teaspoon ground black pepper, 1 (14 ounce) package Mexican-style chorizo, 1 tablespoon butter, 8 eggs, 8 (10 inch) flour tortillas, ½ cup salsa, 1 (4 ounce) package queso fresco, crumbled","Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper. Place sweet potatoes and green onions on the baking sheet. Drizzle with olive oil and sprinkle with garlic powder, salt, and pepper. Toss to combine and spread out evenly. Roast in the preheated oven until soft, about 25 minutes. Meanwhile, cook chorizo in a medium skillet over medium-high heat, breaking apart with a wooden spoon, 8 to 10 minutes. Drain any excess fat; transfer chorizo to a bowl and set aside to cool. Wipe out the skillet and return it to the stove. Whisk eggs in a bowl. Heat butter in the skillet over medium-high heat. Pour in eggs and scramble until just set, 3 to 5 minutes. Scrape eggs into a bowl and let cool. Line up tortillas in assembly-line fashion. Divide chorizo between the 8 tortillas. Top each with a portion of sweet potato-onion mixture, scrambled eggs, 1 tablespoon salsa, and queso fresco. Fold the bottom of each tortilla up over the filling, then fold in both sides and roll up burritos. Flip burritos so they are seam side-down. Wrap each individually with aluminum foil and place into a resealable plastic bag.",634 calories; protein 27g; carbohydrates 51g; fat 35.4g; cholesterol 238mg; sodium 1431.2mg.
